timestamp,title,company_name,headquarters,post_date,categories,offer_url
2026-04-18 16:34:36,Senior DevOps Engineer,Lemon.io,"New York, NY",2026-04-15,"[""Featured"", ""Top 100"", ""Full-Time"", ""\ud83c\udde6\ud83c\udde9 Andorra"", ""\ud83c\udde6\ud83c\uddf1 Albania"", ""\ud83c\udde6\ud83c\uddf7 Argentina"", ""\ud83c\udde6\ud83c\uddf9 Austria"", ""\ud83c\udde6\ud83c\uddfa Australia"", ""\ud83c\udde7\ud83c\udde6 Bosnia and Herzegovina"", ""\ud83c\udde7\ud83c\uddea Belgium"", ""\ud83c\udde7\ud83c\uddf4 Bolivia (Plurinational State of)"", ""\ud83c\udde7\ud83c\uddf7 Brazil"", ""\ud83c\udde7\ud83c\uddff Belize"", ""\ud83c\udde8\ud83c\udde6 Canada"", ""\ud83c\udde8\ud83c\udded Switzerland"", ""\ud83c\udde8\ud83c\uddf1 Chile"", ""\ud83c\udde8\ud83c\uddf4 Colombia"", ""\ud83c\udde8\ud83c\uddf7 Costa Rica"", ""\ud83c\udde8\ud83c\uddfe Cyprus"", ""\ud83c\udde8\ud83c\uddff Czechia"", ""\ud83c\udde9\ud83c\uddea Germany"", ""\ud83c\udde9\ud83c\uddf0 Denmark"", ""\ud83c\udde9\ud83c\uddf4 Dominican Republic"", ""\ud83c\uddea\ud83c\udde8 Ecuador"", ""\ud83c\uddea\ud83c\uddea Estonia"", ""\ud83c\uddea\ud83c\uddf8 Spain"", ""\ud83c\uddeb\ud83c\uddee Finland"", ""\ud83c\uddeb\ud83c\uddf7 France"", ""\ud83c\uddec\ud83c\udde7 United Kingdom of Great Britain and Northern Ireland"", ""\ud83c\uddec\ud83c\uddf7 Greece"", ""\ud83c\uddec\ud83c\uddf9 Guatemala"", ""\ud83c\udded\ud83c\uddf3 Honduras"", ""\ud83c\udded\ud83c\uddf7 Croatia"", ""\ud83c\udded\ud83c\uddf9 Haiti"", ""\ud83c\uddee\ud83c\udde9 Indonesia"", ""\ud83c\uddee\ud83c\uddea Ireland"", ""\ud83c\uddee\ud83c\uddf9 Italy"", ""\ud83c\uddef\ud83c\uddf2 Jamaica"", ""\ud83c\uddef\ud83c\uddf5 Japan"", ""\ud83c\uddf0\ud83c\uddf7 Korea (Republic of)"", ""\ud83c\uddf1\ud83c\uddf9 Lithuania"", ""\ud83c\uddf1\ud83c\uddfa Luxembourg"", ""\ud83c\uddf1\ud83c\uddfb Latvia"", ""\ud83c\uddf2\ud83c\udde6 Morocco"", ""\ud83c\uddf2\ud83c\udde9 Moldova (Republic of)"", ""\ud83c\uddf2\ud83c\uddea Montenegro"", ""\ud83c\uddf2\ud83c\uddf0 North Macedonia"", ""\ud83c\uddf2\ud83c\uddf9 Malta"", ""\ud83c\uddf2\ud83c\uddfd Mexico"", ""\ud83c\uddf3\ud83c\uddf1 Netherlands"", ""\ud83c\uddf3\ud83c\uddf4 Norway"", ""\ud83c\uddf3\ud83c\uddff New Zealand"", ""\ud83c\uddf5\ud83c\udde6 Panama"", ""\ud83c\uddf5\ud83c\uddea Peru"", ""\ud83c\uddf5\ud83c\uddec Papua New Guinea"", ""\ud83c\uddf5\ud83c\udded Philippines"", ""\ud83c\uddf5\ud83c\uddf1 Poland"", ""\ud83c\uddf5\ud83c\uddf7 Puerto Rico"", ""\ud83c\uddf5\ud83c\uddf9 Portugal"", ""\ud83c\uddf5\ud83c\uddfe Paraguay"", ""\ud83c\uddf7\ud83c\uddf4 Romania"", ""\ud83c\uddf8\ud83c\uddea Sweden"", ""\ud83c\uddf8\ud83c\uddec Singapore"", ""\ud83c\uddf8\ud83c\uddee Slovenia"", ""\ud83c\uddf8\ud83c\uddf0 Slovakia"", ""\ud83c\uddf8\ud83c\uddfb El Salvador"", ""\ud83c\uddfa\ud83c\udde6 Ukraine"", ""\ud83c\uddfa\ud83c\uddf8 United States of America"", ""\ud83c\uddfa\ud83c\uddfe Uruguay""]",https://weworkremotely.com/remote-jobs/lemon-io-senior-devops-engineer-2
2026-04-18 16:34:36,"QA Engineer - AI, Automation & Intelligent Testing",Secure Privacy,Europe (DK),2026-04-08,"[""Contract"", ""Anywhere in the World""]",https://weworkremotely.com/remote-jobs/secure-privacy-qa-engineer-ai-automation-intelligent-testing
2026-04-18 16:34:36,Senior Technical Lead DevOps - AWS,3pillar,Mexico,2026-04-09,"[""Full-Time"", ""Anywhere in the World""]",https://weworkremotely.com/remote-jobs/3pillar-senior-technical-lead-devops-aws
2026-04-18 16:34:36,Senior Data DevOps Engineer,Hard Rock Digital,"Florida, United States",2026-04-09,"[""Full-Time"", ""Anywhere in the World""]",https://weworkremotely.com/remote-jobs/hard-rock-digital-senior-data-devops-engineer
2026-04-18 16:34:36,DevOps Engineer - Observability,Lingaro,Poland,2026-04-08,"[""Full-Time"", ""Anywhere in the World""]",https://weworkremotely.com/remote-jobs/lingaro-devops-engineer-observability
2026-04-18 16:34:36,Senior ML Infrastructure / DevOps Engineer,Pathway,"Paris, Île-de-France, France",2026-04-08,"[""Full-Time"", ""Anywhere in the World""]",https://weworkremotely.com/remote-jobs/pathway-senior-ml-infrastructure-devops-engineer
2026-04-18 16:34:36,Fullstack Engineer (with DevOps focus) (f/m/d) at climate tech start-up,Exnaton Ag,"Spain,Italy,Remote,Poland,Austria",2026-04-07,"[""Full-Time"", ""Anywhere in the World""]",https://weworkremotely.com/remote-jobs/exnaton-ag-fullstack-engineer-with-devops-focus-f-m-d-at-climate-tech-start-up
2026-04-18 16:34:36,Senior DevOps Engineer (CloudInfra),Evolutioniq,"New York, NY",2026-04-07,"[""Full-Time"", ""Anywhere in the World""]",https://weworkremotely.com/remote-jobs/evolutioniq-senior-devops-engineer-cloudinfra
2026-04-18 16:34:36,UNPAID VOLUNTEER - Technology Officers (Data Scientists/DevOps/Full Stack),Blockchain & Climate Institute/ BCI America Inc.,Canada,2026-04-08,"[""Full-Time"", ""Anywhere in the World""]",https://weworkremotely.com/remote-jobs/blockchain-climate-institute-bci-america-inc-unpaid-volunteer-technology-officers-data-scientists-devops-full-stack-1
2026-04-18 16:34:36,UNPAID VOLUNTEER - Technology Officers (Data Scientists/DevOps/Full Stack),Blockchain & Climate Institute/ Bci America Inc.,United States,2026-04-07,"[""Full-Time"", ""Anywhere in the World""]",https://weworkremotely.com/remote-jobs/blockchain-climate-institute-bci-america-inc-unpaid-volunteer-technology-officers-data-scientists-devops-full-stack
